goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,position
3,2,0,86,65.65,163,73.76,16,72.73,59,,83.07,249,70.74,3060,16,28,6,34,0,0,0,0,0,0,0,0,0,0,150,3,1153,9,1,50,119,53.13,96,260,9,1,29,10,4,10.34,5,2,,0,1,0,Virgil van Dijk,Southampton,151545,45,DF
2,0,0,36,75,49,60.49,4,100,28,1,62.94,85,65.89,1315,4,5,3,15,0,0,0,0,0,0,0,0,0,0,31,1,253,5,0,0,30,26.32,33,138,6,2,10,4,0,20,0,1,,0,1,0,Lamine Koné,Sunderland,51444,41,DF
4,3,0,82,59.42,104,64.6,10,90.91,47,,87,186,62.21,2846,26,31,12,33,0,0,0,0,0,0,0,0,0,0,142,1,1472,8,0,0,83,50.3,126,186,14,1,19,8,2,21.05,0,1,,0,2,0,Laurent Koscielny,Arsenal,51340,42,DF
0,4,0,118,53.39,49,59.04,7,58.33,99,4,72.37,167,54.93,2710,12,33,10,32,0,0,0,0,0,0,0,0,0,0,255,7,854,44,34,26.77,91,39.91,98,122,55,0,19,8,6,0,0,0,,0,0,0,Christian Fuchs,Leicester City,1262,31,DF
4,3,0,57,61.96,59,60.2,7,70,45,2,80.49,116,61.05,3419,5,9,7,38,0,0,0,0,0,0,0,0,0,0,206,1,1671,10,2,12.5,238,46.85,66,285,16,1,41,14,8,9.76,0,1,,0,0,0,Toby Alderweireld,Tottenham Hotspur,44575,33,DF
1,9,0,129,61.72,90,64.75,11,78.57,90,,84.13,219,62.93,2672,30,31,7,30,0,0,0,0,0,0,0,0,0,0,137,0,1320,5,0,0,97,48.74,104,209,41,0,27,8,8,3.7,0,0,,0,2,0,Nicolás Otamendi,Manchester City,74915,17,DF
2,5,0,30,55.56,35,85.37,7,100,20,,82.89,65,68.42,1179,3,15,2,14,0,0,0,0,0,0,0,0,0,0,64,0,562,3,0,0,55,50.46,23,78,7,0,11,3,3,18.18,0,0,,0,0,0,Vincent Kompany,Manchester City,6019,17,DF
1,4,1,54,68.35,51,62.2,3,75,42,,90.2,105,65.22,1761,11,9,6,21,0,0,0,0,0,0,0,0,0,0,57,0,1003,1,0,0,34,50,62,113,10,0,11,4,1,9.09,1,0,,1,2,0,Gabriel Paulista,Arsenal,124737,42,DF
4,4,1,62,67.39,76,62.81,12,75,41,1,83.76,138,64.79,2191,9,8,3,28,0,0,0,0,0,0,0,0,0,0,89,1,1037,6,3,50,107,47.35,66,217,16,3,24,9,2,16.67,0,2,,0,2,0,Ramiro Funes Mori,Everton,252313,48,DF
2,8,0,87,65.41,73,57.94,6,100,68,1,85.02,160,61.78,3240,15,30,6,36,0,0,0,0,0,0,0,0,0,0,146,0,1601,11,1,33.33,175,51.78,99,314,14,1,16,6,2,12.5,0,2,,1,3,0,Ashley Williams,Swansea City,20204,74,DF
