goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,position,,,
0,0,0,8,72.73,5,62.5,0,0,6,0,70.59,13,68.42,90,2,4,0,1,0,0,0,0,0,0,0,0,0,0,10,0,48,2,1,100,3,33.33,1,0,0,0,0,0,0,0,0,0,,0,0,0,Mile Jedinak,Crystal Palace,24685,7,DF,,,
1,3,1,61,70.11,98,75.38,8,100,39,0,84.18,159,73.27,1854,17,18,2,21,0,0,0,0,0,0,0,0,0,0,97,1,825,6,0,0,97,62.58,54,142,7,0,17,5,5,5.88,2,0,,0,1,0,Virgil van Dijk,Southampton,151545,45,DF,,,
1,9,0,104,67.1,117,63.59,11,73.33,68,1,88.24,221,65.19,2592,26,30,6,30,0,0,0,0,0,0,0,0,0,0,155,2,1718,6,1,33.33,82,48.81,83,189,19,0,15,3,4,6.67,0,1,,0,2,0,Nicolás Otamendi,Manchester City,74915,17,DF,,,
0,5,0,90,71.43,106,75.71,26,96.3,43,0,85.28,196,73.68,2897,21,21,9,33,0,0,0,0,0,0,0,0,0,0,186,0,1749,8,1,11.11,167,51.7,42,230,10,0,14,4,5,0,2,0,,2,1,1,Jan Vertonghen,Tottenham Hotspur,16921,33,DF,,,
3,5,0,23,50,19,67.86,2,100,15,0,88.15,42,56.76,823,6,19,2,11,0,0,0,0,0,0,0,0,0,0,36,1,491,2,1,100,35,58.33,16,42,3,0,9,3,1,33.33,1,0,,0,0,0,Vincent Kompany,Manchester City,6019,17,DF,,,
1,2,0,65,64.36,25,53.19,7,77.78,45,2,85.87,90,60.81,1829,14,14,4,23,0,0,0,0,0,0,0,0,0,0,219,3,893,28,24,27.59,66,50,44,108,16,0,9,2,5,11.11,0,0,,0,0,1,Daley Blind,Manchester United,44864,35,DF,,,
0,4,0,99,67.81,37,55.22,14,82.35,60,0,85.5,136,63.85,2060,25,28,7,25,0,0,0,0,0,0,0,0,0,0,73,0,749,1,0,0,59,48.36,60,126,12,1,6,1,2,0,1,0,,0,0,0,Eric Bailly,Manchester United,606346,35,DF,,,
0,2,0,46,70.77,46,68.66,5,71.43,34,0,89.38,92,69.7,1585,11,9,4,18,0,0,0,0,0,0,0,0,0,0,43,1,707,2,0,0,44,50,27,138,4,0,3,0,2,0,0,0,,0,1,0,Phil Jones,Manchester United,93868,35,DF,,,
3,4,1,71,74.74,90,62.5,2,66.67,43,2,82.83,161,67.36,2249,28,13,3,27,0,0,0,0,0,0,0,0,0,0,89,1,1008,5,1,100,145,52.73,41,208,8,0,14,6,2,21.43,0,0,,0,5,0,Phil Jagielka,Everton,10507,48,DF,,,
1,6,0,103,62.8,83,66.94,22,73.33,46,1,84.45,186,64.58,2533,38,34,7,29,0,0,0,0,0,0,0,0,0,0,294,1,1570,15,12,44.44,121,44.32,46,156,17,0,32,10,7,3.13,0,0,,0,0,0,Aleksandar Kolarov,Manchester City,26097,17,DF,,,
3,1,0,27,72.97,21,53.85,3,100,22,1,88.64,48,63.16,831,2,4,2,12,0,0,0,0,0,0,0,0,0,0,38,2,359,4,1,50,14,38.89,11,76,5,1,7,4,2,42.86,0,0,,0,0,0,Nathan Aké,Chelsea,149663,38,DF,,,
1,6,0,81,61.83,60,60.61,14,87.5,42,0,83.63,141,61.3,2956,30,29,8,33,0,0,0,0,0,0,0,0,0,0,130,3,1313,10,2,33.33,158,51.47,64,171,12,0,31,10,10,3.23,1,3,,0,2,0,David Luiz,Chelsea,21300,38,DF,,,
1,1,0,50,62.5,42,48.28,4,50,41,0,83.18,92,55.09,2604,5,9,1,30,0,0,0,0,0,0,0,0,0,0,155,0,1266,7,1,16.67,212,56.68,26,162,16,1,28,9,5,3.57,1,0,,1,2,1,Toby Alderweireld,Tottenham Hotspur,44575,33,DF,,,
2,5,0,78,66.67,145,66.21,19,79.17,46,0,81.99,223,66.37,3420,14,16,5,38,0,0,0,0,0,0,0,0,0,0,141,1,1407,3,0,0,168,49.7,76,352,15,1,29,9,6,6.9,0,0,,1,2,0,Steve Cook,Bournemouth,42707,60,DF,,,
2,8,1,77,62.6,55,59.14,10,76.92,32,2,80.77,132,61.11,2589,36,31,3,30,0,0,0,0,0,0,0,0,0,0,54,1,794,8,1,33.33,106,51.21,82,244,18,0,11,2,2,18.18,0,1,,0,0,0,Winston Reid,West Ham United,14120,37,DF,,,
1,4,0,118,61.78,81,54,12,80,84,4,87.23,199,58.36,3420,23,27,9,38,0,0,0,0,0,0,0,0,0,0,450,1,2145,22,7,17.07,116,49.36,71,119,35,0,18,6,2,5.56,0,2,,0,0,0,César Azpilicueta,Chelsea,21555,38,DF,,,
1,5,0,69,63.3,126,62.07,1,33.33,47,0,73.3,195,62.5,3015,28,23,2,34,0,0,0,0,0,0,0,0,0,0,105,1,840,6,1,25,140,46.67,72,300,16,0,16,6,2,6.25,1,0,,1,2,0,Ben Mee,Burnley,137774,6,DF,,,
1,3,0,68,71.58,63,61.17,10,71.43,47,0,87.16,131,66.16,2456,11,14,3,29,0,0,0,0,0,0,0,0,0,0,207,0,1480,10,0,0,93,51.38,47,154,6,2,26,4,8,3.85,3,0,,1,0,0,Joël Matip,Liverpool,51501,44,DF,,,
