goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsOcnceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Position
4,5,0,84,44.44,16,34.78,21,41.18,55,13,76.68,100,42.55,3180,9,22,12,38,0,0,0,0,0,0,0,0,0,0,540,18,1871,87,81,21.2,192,44.44,45,70,42,2,44,13,17,9.09,0,3,,1,2,0,Trent Alexander-Arnold,Liverpool,795064,44,DF
5,1,0,48,69.57,191,76.1,3,75,23,1,89.08,239,74.69,3420,25,16,2,38,0,0,0,0,0,0,0,0,0,0,228,2,2903,9,0,0,205,54.96,40,162,7,3,31,15,5,16.13,1,1,,1,1,2,Virgil van Dijk,Liverpool,151545,44,DF
0,4,0,85,59.86,19,46.34,37,69.81,40,0,90.4,104,56.83,1205,8,17,8,17,0,0,0,0,0,0,0,0,0,0,280,6,913,17,7,14.89,38,70.37,21,16,16,0,15,3,3,0,0,0,,0,0,0,João Cancelo,Manchester City,138892,17,DF
4,4,0,55,52.88,42,57.53,12,63.16,28,2,82.6,97,54.8,1432,15,16,10,18,0,0,0,0,0,0,0,0,0,0,207,4,750,25,20,30.3,26,42.62,20,25,19,2,30,8,11,13.33,1,2,,0,0,0,Marcos Alonso,Chelsea,69408,38,DF
2,2,0,89,52.05,33,49.25,22,50,54,12,83.71,122,51.26,3113,13,18,9,36,0,0,0,0,0,0,0,0,0,0,639,14,2086,61,41,19.52,84,43.3,38,58,34,2,22,6,7,9.09,0,2,,0,1,1,Andrew Robertson,Liverpool,262911,44,DF
1,0,0,19,54.29,47,90.38,2,100,13,0,84.27,66,75.86,704,6,7,2,9,0,0,0,0,0,0,0,0,0,0,60,0,466,1,0,0,26,41.94,12,37,7,0,4,1,0,25,0,0,,0,0,0,Joël Matip,Liverpool,51501,44,DF
2,1,0,112,54.37,93,59.24,12,57.14,86,6,80.7,205,56.47,3230,15,40,13,36,0,0,0,0,0,0,0,0,0,0,447,8,1965,45,30,24.79,80,42.11,67,81,34,0,29,6,9,6.9,0,3,,0,0,0,César Azpilicueta,Chelsea,21555,38,DF
0,6,0,123,51.9,114,68.26,23,63.89,73,7,74.16,237,58.66,3035,29,43,24,35,0,0,0,0,0,0,0,0,0,0,316,8,1019,73,72,26.67,64,44.14,42,93,35,0,29,4,15,0,1,3,,0,0,1,Lucas Digne,Everton,96538,48,DF
2,10,0,109,60.56,198,72.79,13,100,66,2,70.81,307,67.92,3420,32,49,4,38,0,0,0,0,0,0,0,0,0,0,102,6,956,15,0,0,105,39.62,63,200,23,2,21,5,6,9.52,0,3,,0,4,0,James Tarkowski,Burnley,145188,6,DF
1,6,0,64,52.89,176,71.26,8,66.67,37,1,86.66,240,65.22,3420,22,33,6,38,0,0,0,0,0,0,0,0,0,0,240,2,2183,17,0,0,169,57.29,72,157,16,4,31,8,6,3.23,0,6,,0,0,0,Harry Maguire,Manchester United,149380,35,DF
