goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Position
2,2,0,66,44,15,53.57,19,48.72,40,12,78.14,81,45.51,2853,7,12,19,32,0,0,0,0,0,0,0,0,0,0,630,18,1684,90,82,30.04,203,53.42,43,33,33,0,51,15,15,3.92,0,11,,0,0,0,Trent Alexander-Arnold,Liverpool,795064,44,DF
5,4,1,100,60.98,17,44.74,36,76.6,33,9,89.56,117,57.92,1868,31,20,22,26,0,0,0,0,0,0,0,0,0,0,420,9,1235,49,24,22.22,43,71.67,17,18,13,1,37,10,13,13.51,1,4,,0,0,1,Reece James,Chelsea,885908,38,DF
2,0,0,21,63.64,10,66.67,1,33.33,17,0,65.02,31,64.58,429,3,3,1,6,0,0,0,0,0,0,0,0,0,0,42,0,132,7,12,42.86,17,40.48,10,10,6,0,2,2,0,100,0,0,,0,0,0,Kieran Trippier,Newcastle United,69256,39,DF
3,5,1,58,49.57,26,65,13,56.52,36,10,85.17,84,53.5,2541,9,19,15,29,0,0,0,0,0,0,0,0,0,0,478,9,1642,56,45,23.08,59,40.97,23,51,15,0,18,8,4,16.67,0,4,,0,0,1,Andrew Robertson,Liverpool,262911,44,DF
3,2,0,66,68.04,109,68.13,9,90,47,3,88.53,175,68.09,2790,11,13,7,31,0,0,0,0,0,0,0,0,0,0,265,4,2053,13,0,0,109,57.37,44,90,11,2,35,9,9,8.57,2,0,,0,1,1,Joël Matip,Liverpool,51501,44,DF
3,0,0,26,57.78,7,41.18,3,50,8,1,82.96,33,53.23,541,15,10,3,7,0,0,0,0,0,0,0,0,0,0,94,1,224,11,7,21.88,5,25,4,14,3,2,13,6,4,23.08,1,2,,0,1,1,Ben Chilwell,Chelsea,802695,38,DF
1,7,0,165,52.05,57,52.78,56,52.83,83,7,85.27,222,52.24,3228,26,34,24,36,0,0,0,0,0,0,0,0,0,0,846,8,2513,39,20,16.13,139,56.5,59,31,45,4,81,23,31,1.23,2,2,,0,1,0,João Cancelo,Manchester City,138892,17,DF
3,2,0,49,65.33,57,64.04,6,85.71,32,0,92.75,106,64.63,2651,12,12,3,32,0,0,0,0,0,0,0,0,0,0,239,0,2432,7,1,50,171,65.52,44,95,11,0,18,5,5,16.67,1,1,,0,0,0,Thiago Silva,Chelsea,33541,38,DF
3,3,0,30,61.22,117,77.48,6,75,16,1,89.53,147,73.5,3060,8,9,3,34,0,0,0,0,0,0,0,0,0,0,184,2,2369,9,0,0,165,57.69,31,107,5,1,35,14,6,8.57,1,0,,0,0,0,Virgil van Dijk,Liverpool,151545,44,DF
3,2,0,63,64.95,33,54.1,10,83.33,40,1,90.63,96,60.76,1449,14,19,7,20,0,0,0,0,0,0,0,0,0,0,192,0,1151,4,0,0,44,55.7,19,42,7,0,9,7,0,33.33,0,0,,1,1,0,Trevoh Chalobah,Chelsea,826134,38,DF
0,0,0,1,100,0,0,1,100,0,1,100,1,33.33,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Neco Williams,Liverpool,927356,44,DF
0,3,0,41,50,12,52.17,8,40,27,2,81.25,53,50.48,877,6,20,5,13,0,0,0,0,0,0,0,0,0,0,139,3,416,25,26,22.41,10,32.26,10,19,4,1,8,2,3,0,0,0,,0,2,0,Konstantinos Tsimikas,Liverpool,786259,44,DF
1,0,0,19,79.17,47,81.03,8,88.89,5,0,91.49,66,80.49,1118,6,3,1,14,0,0,0,0,0,0,0,0,0,0,138,0,892,4,0,0,53,70.67,11,25,1,1,9,5,3,11.11,0,0,,0,1,0,John Stones,Manchester City,152077,17,DF
1,11,0,88,65.19,153,70.51,5,71.43,64,2,68.81,241,68.47,3107,19,30,5,35,0,0,0,0,0,0,0,0,0,0,113,0,812,10,0,0,140,47.78,49,183,14,5,22,6,2,4.55,1,2,,2,2,0,James Tarkowski,Burnley,145188,6,DF
1,8,0,86,63.7,43,58.9,9,64.29,62,0,86.7,129,62.02,1846,15,28,5,22,0,0,0,0,0,0,0,0,0,0,106,0,1141,6,0,0,58,44.96,33,72,12,0,6,2,2,16.67,0,2,,1,0,0,Cristian Romero,Tottenham Hotspur,829932,33,DF
1,7,0,21,51.22,65,70.65,1,100,15,0,87.37,86,64.66,1434,5,15,0,18,0,0,0,0,0,0,0,0,0,0,62,0,899,4,1,100,65,51.18,16,75,6,0,22,6,6,4.55,0,1,,0,1,0,Shane Duffy,Brighton & Hove Albion,55570,30,DF
4,5,1,49,63.64,52,61.9,6,75,33,0,94.76,101,62.73,2836,10,14,7,33,0,0,0,0,0,0,0,0,0,0,392,0,2767,9,2,40,142,66.36,20,61,6,5,35,8,5,11.43,1,2,,1,1,0,Aymeric Laporte,Manchester City,149734,17,DF
1,6,0,151,61.13,40,52.63,28,50.91,93,1,81.98,191,59.13,3092,30,28,15,35,0,0,0,0,0,0,0,0,0,0,531,3,1556,42,29,25.22,54,37.24,30,65,27,0,18,3,4,5.56,0,3,,0,0,0,Marc Cucurella,Brighton & Hove Albion,794939,30,DF
3,9,0,66,51.97,56,73.68,6,50,48,0,88.07,122,60.1,3035,12,35,8,34,0,0,0,0,0,0,0,0,0,0,353,0,2199,12,5,33.33,159,53.18,28,87,12,3,48,13,12,6.25,1,0,,1,0,0,Antonio Rüdiger,Chelsea,142622,38,DF
2,5,0,37,48.68,51,58.62,2,50,26,4,93.33,88,53.99,2403,9,27,3,29,0,0,0,0,0,0,0,0,0,0,252,4,2114,15,1,33.33,99,63.06,23,67,7,3,18,3,7,11.11,0,2,,0,0,0,Rúben Dias,Manchester City,318941,17,DF
4,8,0,84,48.84,40,57.97,15,42.86,41,4,81.06,124,51.45,2178,28,25,25,28,0,0,0,0,0,0,0,0,0,0,339,6,920,43,31,20.81,42,38.18,43,50,19,1,43,11,19,9.3,0,3,,0,0,0,Marcos Alonso,Chelsea,69408,38,DF
0,0,0,3,100,1,100,0,0,3,0,83.33,4,100,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Fin Stevens,Brentford,1064630,50,DF
2,2,1,52,60.47,59,64.84,5,62.5,37,0,69.21,111,62.71,1670,12,20,4,19,0,0,0,0,0,0,0,0,0,0,65,3,436,6,1,33.33,46,34.85,24,81,10,2,15,5,3,13.33,0,4,,0,2,0,Nathan Collins,Burnley,958916,6,DF
2,0,0,18,56.25,37,72.55,0,0,16,0,90.82,55,66.27,920,2,9,3,14,0,0,0,0,0,0,0,0,0,0,127,1,772,2,0,0,14,43.75,8,21,2,1,5,2,0,40,1,0,,0,0,0,Nathan Aké,Manchester City,149663,17,DF
2,4,0,54,65.85,47,55.95,4,66.67,41,0,87.83,101,60.84,1631,11,16,2,23,0,0,0,0,0,0,0,0,0,0,125,0,989,5,1,50,38,39.18,30,54,9,1,13,3,2,15.38,0,1,,0,3,0,Davinson Sánchez,Tottenham Hotspur,566102,33,DF
0,0,0,29,49.15,15,46.88,7,58.33,20,4,90.73,44,48.35,1044,2,11,6,15,0,0,0,0,0,0,0,0,0,0,313,3,881,17,5,16.13,24,55.81,14,11,9,0,12,4,2,0,0,1,,0,1,1,Oleksandr Zinchenko,Manchester City,287643,17,DF
3,3,0,37,68.52,68,62.39,4,80,26,0,70.44,105,64.42,1840,7,9,0,21,0,0,0,0,0,0,0,0,0,0,67,2,529,5,1,25,89,44.06,24,92,7,2,19,4,3,15.79,1,2,,0,1,0,Ben Mee,Burnley,137774,6,DF
2,0,0,28,51.85,16,66.67,6,60,18,4,83.63,44,56.41,890,4,11,6,15,0,0,0,0,0,0,0,0,0,0,106,3,378,15,6,30,14,58.33,13,19,6,3,16,6,5,12.5,0,0,,0,0,0,Matt Doherty,Tottenham Hotspur,143047,33,DF
