player_name,player_id
Rodri,827606
Arijanet Murić,888971
Kevin De Bruyne,70996
Phil Foden,859765
Bruno Fernandes,288205
Michael Olise,978838
Bukayo Saka,934235
Cole Palmer,982780
Martin Ødegaard,547410
James Maddison,356398
Mohamed Salah,159665
Eberechi Eze,864921
Pascal Groß,48480
Heung-min Son,111505
Bernardo Silva,331209
Bruno Guimarães,866469
Andrew Robertson,262911
Declan Rice,856714
Jérémy Doku,934386
Anthony Gordon,914902
Joško Gvardiol,964994
Thomas Strakosha,227212
Virgil van Dijk,151545
Solly March,301288
Erling Haaland,839956
Alphonse Aréola,96531
Julián Alvarez,944656
Pedro Porro,913654
Ollie Watkins,555386
Conor Bradley,1008402
James Tarkowski,145188
Conor Gallagher,904970
Kieran Trippier,69256
Trent Alexander-Arnold,795064
James Ward-Prowse,161717
Bryan Mbeumo,927083
Douglas Luiz,867887
Diogo Jota,606164
Manor Solomon,862223
Morgan Gibbs-White,865912
Matheus Cunha,886363
Ben White,846036
Cristian Romero,829932
Dwight McNeil,935543
Alexis Mac Allister,895324
Manuel Akanji,383560
Jack Grealish,189061
Gabriel Magalhães,869792
Kai Havertz,836705
André Onana,787498
João Pedro,975079
Jordan Pickford,138530
Rúben Dias,318941
Lucas Paquetá,839981
Jacob Murphy,372336
Enzo Fernández,974505
Martin Dúbravka,42209
Pedro Neto,879349
Luis Díaz,883537
Oleksandr Zinchenko,287643
Mark Travers,856720
Kaoru Mitoma,936849
Casemiro,122951
Alexander Isak,823941
Ross Barkley,98435
Gabriel Jesus,794839
Lewis Dunk,115365
Daniel Muñoz,870360
Dominik Szoboszlai,869856
Kyle Walker,44614
João Palhinha,364612
Jarrod Bowen,552884
Leon Bailey,808590
Craig Dawson,50027
Harry Maguire,149380
Jan Paul van Hecke,962012
Harvey Elliott,955245
Willian,31417
Rodrigo Muniz,1015256
Moisés Caicedo,987650
Oscar Bobb,1065216
Bart Verbruggen,994363
José Sá,252669
Cody Gakpo,862967
Diogo Dalot,843200
Josh Cullen,792122
Robert Sánchez,920546
Albert Sambi Lokonga,901892
Gabriel Martinelli,922573
John McGinn,250223
Neto,84844
Emiliano Martínez,158263
Dejan Kulusevski,928124
Mohammed Kudus,905163
Nathan Aké,149663
Aleksandar Mitrović,192144
Robin Olsen,26025
Bernd Leno,103335
James Garner,927361
Mark Flekken,171919
Yoane Wissa,805123
Adam Wharton,1109771
Pablo Sarabia,138573
Noni Madueke,966547
Ryan Christie,322391
Callum Hudson-Odoi,867442
Richarlison,840217
Ibrahima Konaté,826215
Thiago Silva,33541
Jarrad Branthwaite,979563
Amadou Onana,923973
Leandro Trossard,135666
Andreas Pereira,285949
Alex Iwobi,352770
Jefferson Lerma,355796
Alejandro Garnacho,1135873
Timo Werner,232306
Cheick Doucouré,906047
Ethan Pinnock,855864
Idrissa Gueye,106337
Ben Brereton Díaz,867583
Malo Gusto,996958
Dominic Solanke,361420
William Saliba,941168
Christian Nørgaard,135256
Luis Sinisterra,836070
Mario Lemina,307284
Pervis Estupiñán,805465
Guglielmo Vicario,553606
Carlton Morris,358222
Łukasz Fabiański,15479
Marcus Tavernier,895576
Simon Adingra,1110842
Giovani Lo Celso,798835
Yves Bissouma,844842
Alfie Doughty,945792
Chiedozie Ogbene,849309
Jean-Philippe Mateta,848276
Darwin Núñez,924871
Tosin Adarabioyo,352668
Willy Boly,139310
Ivan Perišić,38710
Joachim Andersen,362682
Alisson,243609
Ben Davies,94758
Mateo Kovačić,136710
Thomas Partey,316148
Fabian Schär,101882
Joël Matip,51501
Nicolas Jackson,1085381
Jarell Quansah,1003339
Jordan Ayew,103045
Levi Colwill,996911
Konstantinos Tsimikas,786259
Rico Henry,599128
Josh Acheampong,1403050
James Shea,137789
Davinson Sánchez,566102
Aymeric Laporte,149734
Ederson,254491
Micky van de Ven,998247
Harvey Barnes,855647
Marc Cucurella,794939
Joelinton,560128
Nick Pope,162653
James Trafford,980643
Julio Enciso,973556
Marcos Senesi,830659
Lewis Cook,548188
Rico Lewis,1136731
Wesley Foderingham,187861
Harry Wilson,355528
Matt Turner,833943
Antonee Robinson,803174
Pape Matar Sarr,1002711
Max Kilman,894474
Ivan Toney,290927
Tom Cairney,82566
Boubacar Kamara,826204
Mathias Jensen,799251
Vitaliy Mykolenko,876643
Oliver McBurnie,367228
Caoimhin Kelleher,827362
Moussa Diaby,855817
Hee-Chan Hwang,786186
Raheem Sterling,138534
Jorginho,132874
Stefan Ortega,125274
Dan Burn,99090
Aaron Wan-Bissaka,863653
Jakub Kiwior,976037
Billy Gilmour,907668
Luke Shaw,190839
Tomáš Souček,799041
Sander Berge,793167
Josh Brownhill,358394
Vitaly Janelt,814873
Miguel Almirón,333373
Amad Diallo,971037
Ezri Konsa,827679
Kobbie Mainoo,1142175
Jack Hinshelwood,1142315
Brennan Johnson,1085180
Nicolás Domínguez,871765
John Stones,152077
Scott McKenna,358108
Đorđe Petrović,882604
Youri Tielemans,331737
Chris Wood,50480
Scott McTominay,879346
Emerson Palmieri,155997
Reece James,885908
Tom Lockyer,197848
Tyrick Mitchell,988275
Fábio Vieira,904835
Gustavo Hamer,837495
Issa Diop,825719
Mykhaylo Mudryk,958966
Jordan Beyer,927175
Thomas Kaminski,45959
Taiwo Awoniyi,359664
Raphaël Varane,138310
Nathan Collins,958916
Abdoulaye Doucouré,96535
Wilson Odobert,1142679
Anthony Elanga,979232
Dominic Calvert-Lewin,372344
Marcus Rashford,814590
Edson Álvarez,847151
Trevoh Chalobah,826134
Ethan Nwaneri,1401702
Tyler Adams,800419
Mohamed Elneny,159675
Rayan Aït-Nouri,931278
Elliot Anderson,994546
Antoine Semenyo,934354
Joe Gomez,318927
Matty Cash,833956
Callum Wilson,113956
Destiny Udogie,983572
Antony,958380
Edward Nketiah,858194
Sergio Reguilón,858195
James Milner,791
Kristoffer Ajer,576384
Zanka,26404
Chris Richards,931844
Sean Longstaff,866191
Dango Ouattara,1106451
Sven Botman,910046
João Gomes,1015267
Dara O'Shea,856719
Adam Webster,216308
Takehiro Tomiyasu,804434
Lewis Miley,1400650
Hannibal Mejbri,1009386
Christopher Nkunku,769333
Timothy Castagne,329417
Lucas Digne,96538
Marc Guéhi,877994
Ben Godfrey,754698
Igor Júlio,842513
